# datasets: Transcriptome,Proteome
# conditions: PM,MM,BN,SN,PMN
GENE,FILTERED,Transcriptome_VAR,Transcriptome_MEDIAN,Transcriptome_CLUSTER,Transcriptome:PM_VALUE,Transcriptome:MM_VALUE,Transcriptome:BN_VALUE,Transcriptome:SN_VALUE,Transcriptome:PMN_VALUE,Proteome_VAR,Proteome_MEDIAN,Proteome_CLUSTER,Proteome:PM_VALUE,Proteome:MM_VALUE,Proteome:BN_VALUE,Proteome:SN_VALUE,Proteome:PMN_VALUE
ENSG00000000419,FALSE,35.50159005492917,46.63197455912113,5,-1.2398960843750366,-0.27855557355669336,-0.3511104640638474,0.06467915018029444,1.804882971815286,63.94911824226655,56.056663775657704,6,1.4084445555322753,0.71451326550356,0.09921422797522955,-0.9951400097503725,-1.2270320392606864
ENSG00000000938,FALSE,92.45446660884649,97.48482220294883,3,-1.8645702484071291,0.3574787831948151,0.8514731597926145,-0.14950755832833126,0.8051258637480321,96.67533969355306,94.07343162763804,3,-1.9068215168349063,-0.06330478783453419,0.4499185006900195,0.7923658445036362,0.7278419594757757
ENSG00000001036,FALSE,35.76178086152067,12.142237640936687,2,1.855622337665416,0.15145259157115382,-0.4117830873725498,-0.5835378745412917,-1.0117539673227285,67.56287944492628,44.463717837525294,6,1.2442182763475553,0.6941079740009681,0.4182024183041169,-1.0817551237175123,-1.2747735449351336
ENSG00000001084,FALSE,37.61202659728245,10.75455333911535,2,1.9545438822960324,-0.2425825096796899,-0.37324571601640155,-0.4625731951195129,-0.8761424614804285,39.98265394622723,43.50968488002313,2,1.6100964668640076,-0.6453054530175721,0.4258575657596254,-0.046146410711758346,-1.344502168894321
ENSG00000001167,FALSE,49.147152356172306,52.44290257299797,3,-1.3715127310995319,-0.8313002928815204,0.24687047205473212,0.5014778403858937,1.454464711540426,4.972535414859786,2.197166811217115,4,-0.7325325856315364,1.7001190280689478,0.32398860162388143,-1.20878825035287,-0.0827867937084228
ENSG00000001497,FALSE,18.84937843307314,8.355015900549292,2,1.8177341522569237,0.22673414962580227,-0.31710416346241926,-0.7024590974027848,-1.0249050410175229,82.5383058687482,0.4336513443191674,6,1.1779346274685956,1.2165112964370195,-1.1702645448995006,-0.5292017588486132,-0.694979620157485
ENSG00000001561,FALSE,72.41977450130095,23.995374385660597,4,-0.5938361026265304,1.6035506501743537,0.7351847428114683,-0.7913613515368707,-0.9535379388224212,83.8392599017057,54.00404741254698,3,-1.823026232849861,0.5409989285974738,1.1375724137901295,0.2714646271175666,-0.12700973665530108
ENSG00000001630,FALSE,12.286788089043077,10.494362532523851,6,1.4515168956357074,0.8722353681018971,-0.31888540434225054,-0.900279865729458,-1.1045869936658934,49.98554495518936,1.5322347499277247,2,1.658327117004635,-0.26871672528054136,-1.4742286316022786,0.022155794337214964,0.0624624455409699
ENSG00000002549,FALSE,56.28794449262793,39.52009251228679,5,-0.08980733238744586,-0.8350257941143472,-0.9781458751527017,0.07763806243341276,1.8253409392210802,56.17230413414281,82.33593524139926,6,1.4882950047483388,0.37615598848790255,0.0933980638306638,-0.3796854328005718,-1.5781636242663675
ENSG00000002822,FALSE,6.9095114194854,20.78635443769876,6,1.4003057137020682,0.14613485184111594,0.6337157620538811,-1.4362371155782183,-0.7439192120188489,15.004336513443192,2.65972824515756,5,0.1843914728407411,-1.312886012771812,-0.3034551576162894,1.7467524924424966,-0.3148027948950819
ENSG00000002834,FALSE,83.55015900549292,92.3099161607401,3,-1.7996777789003962,-0.3617727089798711,0.5529948904188664,0.6799049411427451,0.9285506563186567,75.2240531945649,88.75397513732293,5,-1.5433682781156934,-0.21432837095823765,-0.26288745707050876,0.5298819015236494,1.4907022046207856
ENSG00000003056,FALSE,72.85342584562012,58.45620121422376,2,1.8359166248824224,0.28486145443051336,-0.5282998012883725,-0.7720535520988339,-0.8204247259257286,96.84880023128072,12.431338537149465,2,1.6541677143618636,0.6627533829006068,-0.6433632278192163,-0.7654595400277998,-0.9080983294154432
ENSG00000003400,FALSE,67.50505926568373,49.86990459670425,4,-0.27283547355126503,1.758738816064083,0.359653171462703,-0.9248704280667354,-0.9206860859087849,37.5542064180399,58.36947094535993,3,-1.9081173663692232,0.6140947734452287,0.9586553813888575,0.22564912066730705,0.10971809086785922
ENSG00000003402,FALSE,95.83694709453599,94.96964440589765,5,-1.0411676958649227,-0.7083004170414829,-0.5392330725841988,0.6421397388678982,1.6465614466227065,36.51344319167389,0.28910089621277824,2,1.199340293995203,-0.7049122283961003,-1.2751240004663673,1.1433411020413355,-0.3626451671740509
ENSG00000004059,FALSE,69.93350679387106,82.10465452442902,5,-1.4596680183415458,-0.29527859624202407,-0.024533772470342666,0.11569152035265329,1.663788866701262,38.45041919629951,79.96530789245446,3,-1.4758704812535153,0.3722213030321901,0.5390513687052634,1.3390145483384952,-0.7744167388224332
ENSG00000004142,FALSE,10.320901994796184,28.649898814686324,6,1.5521493879031294,-0.11799979870338057,0.6439184172376152,-1.0783664160026942,-0.9997015904346708,36.195432205839836,3.8739520092512287,2,1.6640284955956932,-0.21899763982406611,-1.476497198744953,-0.019693910846436513,0.05116025381977263
ENSG00000004455,FALSE,73.22925701069673,71.87048279849668,6,1.6350360542613436,0.3437233140513581,0.005480156722732009,-0.6457975814717111,-1.3384419435637211,85.86296617519514,76.6695576756288,6,1.2951203655562984,0.8537259335290334,-0.11393161605805698,-1.5226285859465118,-0.5122860970807479
ENSG00000004468,FALSE,30.58687481931194,6.071118820468343,2,1.9544591077878604,-0.6457835906806652,-0.522358946508701,-0.0922867127004896,-0.6940298578980043,79.4160161896502,10.985834056085574,2,1.9016292176571405,-0.0015109063728732124,-0.681504760707575,-0.31194688893599204,-0.9066666616407002
ENSG00000004478,FALSE,24.891587163920207,5.782017924255565,2,1.9842190659298977,-0.6754667733632473,-0.5904645294103212,-0.35806669990518264,-0.3602210632511466,73.83636889274356,47.75946805435097,2,1.8055756711622197,-0.04504754806689401,-0.10408402430346946,-0.4068373060829157,-1.249606792708911
ENSG00000004487,FALSE,34.98120844174617,12.402428447528187,2,1.838913851467354,0.16198449572916154,-0.4046630462638264,-0.5202497672542714,-1.0759855336784176,96.50187915582538,52.26944203527031,6,1.161420007101466,0.7163296639414579,0.33515838311378443,-0.5692561073994453,-1.6436519467572606
ENSG00000004700,FALSE,5.897658282740677,27.95605666377566,2,1.469611596532977,-1.6116920475857517,-0.21844105714382825,0.43519812356613,-0.07467661536952712,28.620988725065047,57.415437987857764,2,1.7168414563469039,0.21883917338318956,-0.7900276602794234,-1.174557638459898,0.02890466900919227
ENSG00000004766,FALSE,19.225209598149753,24.22665510263082,6,0.8801782446107806,0.8857367623433361,0.6001140703205613,-0.8077992998102836,-1.5582297774643934,10.696733159872796,4.538884070540619,6,0.8758259126289664,1.1996473209598113,-0.7485293522973812,-1.4859952086395234,0.15905132734821234
ENSG00000004779,FALSE,41.89071986123157,36.195432205839836,6,1.418923519460335,0.6064472387318635,0.18950557052996977,-0.8523628269330925,-1.3625135017890768,73.46053772766696,19.919051749060422,6,0.9062740314358069,1.4098676999336575,-0.3700478823630122,-0.689882326771485,-1.2562115222349621
ENSG00000005007,FALSE,77.82596126047991,46.37178375252963,5,-0.7385857625863085,-0.7812909426344002,-0.5818372496376051,0.24558057296503985,1.856133381893274,37.35183579069095,71.35010118531368,6,1.6328879502827993,0.5322056862710589,-0.21640001798952363,-1.2033682842790718,-0.7453253342852141
